D. Lewellen, Standard run (dx=dy=dz=6.25)
  540
  0.5987500E+02  0.1198750E+03  0.1798750E+03  0.2398750E+03  0.2998750E+03  0.3598750E+03  0.4198750E+03  0.4798750E+03  0.5398750E+03  0.5998750E+03
  0.6598750E+03  0.7198750E+03  0.7798750E+03  0.8398750E+03  0.8998750E+03  0.9598750E+03  0.1019875E+04  0.1079875E+04  0.1139875E+04  0.1199875E+04
  0.1259875E+04  0.1319875E+04  0.1379875E+04  0.1439875E+04  0.1499875E+04  0.1559875E+04  0.1619875E+04  0.1679875E+04  0.1739875E+04  0.1799875E+04
  0.1859875E+04  0.1919875E+04  0.1979875E+04  0.2039875E+04  0.2099875E+04  0.2159875E+04  0.2219875E+04  0.2279875E+04  0.2339875E+04  0.2399875E+04
  0.2459875E+04  0.2519875E+04  0.2579875E+04  0.2639875E+04  0.2699875E+04  0.2759875E+04  0.2819875E+04  0.2879875E+04  0.2939875E+04  0.2999875E+04
  0.3059875E+04  0.3119875E+04  0.3179875E+04  0.3239875E+04  0.3299875E+04  0.3359875E+04  0.3419875E+04  0.3479875E+04  0.3539875E+04  0.3599875E+04
  0.3659875E+04  0.3719875E+04  0.3779875E+04  0.3839875E+04  0.3899875E+04  0.3959875E+04  0.4019875E+04  0.4079875E+04  0.4139875E+04  0.4199875E+04
  0.4259875E+04  0.4319875E+04  0.4379875E+04  0.4439875E+04  0.4499875E+04  0.4559875E+04  0.4619875E+04  0.4679875E+04  0.4739875E+04  0.4799875E+04
  0.4859875E+04  0.4919875E+04  0.4979875E+04  0.5039875E+04  0.5099875E+04  0.5159875E+04  0.5219875E+04  0.5279875E+04  0.5339875E+04  0.5399875E+04
  0.5459875E+04  0.5519875E+04  0.5579875E+04  0.5639875E+04  0.5699875E+04  0.5759875E+04  0.5819875E+04  0.5879875E+04  0.5939875E+04  0.5999875E+04
  0.6059875E+04  0.6119875E+04  0.6179875E+04  0.6239875E+04  0.6299875E+04  0.6359875E+04  0.6419875E+04  0.6479875E+04  0.6539875E+04  0.6599875E+04
